date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,34,Miles On It,Marshmello & Kane Brown,84,168355,single,1,2024-05-03,False,https://i.scdn.co/image/ab67616d0000b27300ac867eff7ed64be10a517c,black americana & brostep & contemporary country & country & country road & edm & pop & progressive electro house
2024-08-30,35,Slow It Down,Benson Boone,89,161831,album,15,2024-04-05,False,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,singer-songwriter pop
2024-08-30,36,Houdini,Eminem,83,227032,album,19,2024-07-12,True,https://i.scdn.co/image/ab67616d0000b2731633c43b5695735f7de36487,detroit hip hop & hip hop & rap
2024-08-30,37,Guy For That (Feat. Luke Combs),Post Malone & Luke Combs,78,164011,album,18,2024-08-15,False,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,contemporary country & country & dfw rap & melodic rap & pop & rap
2024-08-30,38,"I Love You, I'm Sorry",Gracie Abrams,87,157146,album,13,2024-06-21,True,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b,alt z
2024-08-30,39,Pink Pony Club,Chappell Roan,88,258034,album,14,2023-09-22,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop & pov: indie
2024-08-30,40,Heading South,Zach Bryan,85,171692,single,1,2019-09-30,True,https://i.scdn.co/image/ab67616d0000b273f9017bcd001d030d46850226,classic oklahoma country
2024-08-30,41,28,Zach Bryan,86,233333,album,19,2024-07-04,False,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1,classic oklahoma country
2024-08-30,42,Cruel Summer,Taylor Swift,92,178426,album,18,2019-08-23,False,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,pop
2024-08-30,43,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,90,200400,album,12,2000-03-21,False,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909,boy band & dance pop & pop
2024-08-30,44,Apple,Charli xcx,90,151739,album,15,2024-06-07,False,https://i.scdn.co/image/ab67616d0000b27388e3822cccfb8f2832c70c2e,art pop & candy pop & metropopolis & pop & uk pop
2024-08-30,45,NIGHTS LIKE THIS,The Kid LAROI,89,86983,album,20,2023-11-10,False,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,australian hip hop
2024-08-30,46,Wonderwall - Remastered,Oasis,79,258773,album,40,1995,False,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf,beatlesque & britpop & madchester & permanent wave & rock
2024-08-30,47,Sailor Song,Gigi Perez,85,211978,single,1,2024-07-26,False,https://i.scdn.co/image/ab67616d0000b2730f588c6bdb28000656d084bf,bedroom pop
2024-08-30,48,KEHLANI,Jordan Adetunji,89,122360,single,3,2024-06-24,False,https://i.scdn.co/image/ab67616d0000b273f2cd132495d61b0da6a900d2,irish hip hop
2024-08-30,49,Who,Jimin,94,170887,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,50,Red Wine Supernova,Chappell Roan,89,192720,album,14,2023-09-22,True,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,indie pop & pov: indie
