date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url,genre_list
2024-08-30,28,Como Um Beijo,Marcos & Belutti & Nadson O Ferinha,79,205973,single,1,2024-05-24,False,https://i.scdn.co/image/ab67616d0000b273124c6b20b122a12b7c3c2f73,arrocha & forro & sertanejo & sertanejo pop & sertanejo universitario
2024-08-30,29,Nosso Primeiro Beijo - Ao Vivo,Gloria Groove,79,168805,album,13,2024-05-30,False,https://i.scdn.co/image/ab67616d0000b273754467208561e83795213b23,funk carioca & pop lgbtq+ brasileira
2024-08-30,30,A Noite (La Notte) - Ao Vivo,Gusttavo Lima,65,201557,album,9,2024-08-14,False,https://i.scdn.co/image/ab67616d0000b273f35a936a6d4da331e1fcca4a,agronejo & arrocha & sertanejo & sertanejo universitario
2024-08-30,31,Foi Intenso - Ao Vivo,Zé Neto & Cristiano & Ana Castela,71,132057,album,11,2024-07-11,False,https://i.scdn.co/image/ab67616d0000b27373f044b863be0033982cd767,agronejo & arrocha & sertanejo & sertanejo pop & sertanejo universitario
2024-08-30,32,Deixa o Cavalo Correr,Oldilla & Gabb MC & MC LUUKY & Mc Tato & MC Bruno MS & TrapLaudo & Boladin 211,76,389538,single,1,2024-07-31,True,https://i.scdn.co/image/ab67616d0000b273a6967475e3ee7d2ed48381fb,funk consciente & funk viral
2024-08-30,33,BIRDS OF A FEATHER,Billie Eilish,100,210373,album,10,2024-05-17,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,art pop & pop
2024-08-30,34,Cronômetro - Ao Vivo,Matheus & Kauan,77,165301,album,16,2024-07-05,False,https://i.scdn.co/image/ab67616d0000b27313fd8e80d5b8fc0936cf9cc6,agronejo & arrocha & pop nacional & sertanejo & sertanejo universitario
2024-08-30,35,Taste,Sabrina Carpenter,88,157279,album,12,2024-08-23,False,https://i.scdn.co/image/ab67616d0000b273208dc3669313f2c5114c612d,pop
2024-08-30,36,Who,Jimin,94,170887,album,7,2024-07-19,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,k-pop
2024-08-30,37,Sombra Desconhecida - Ao Vivo,Lauana Prado & Zé Neto & Cristiano,79,160885,single,1,2024-06-21,False,https://i.scdn.co/image/ab67616d0000b273a2248f44da4d5fa4cd2647dc,agronejo & arrocha & sertanejo & sertanejo pop & sertanejo universitario
2024-08-30,38,Nem a Pau (feat. Simone Mendes) - Ao Vivo,Yasmin Santos & Simone Mendes,66,161920,single,5,2024-08-08,False,https://i.scdn.co/image/ab67616d0000b27333a3689c8759e79c452361df,sertanejo & sertanejo pop & sertanejo universitario
2024-08-30,39,A Danada Me Ligando,MC Cebezinho & DJ Oreia & MC Tuto & Love Funk & Mc Kako,46,283636,single,1,2024-08-23,True,https://i.scdn.co/image/ab67616d0000b273dc16c0b3939b95e09076ec5e,funk consciente & funk paulista
2024-08-30,40,Os Menino da Nova,Supernova Ent & Niink & Veigh & G.A & Ghard,60,137677,single,1,2024-08-27,False,https://i.scdn.co/image/ab67616d0000b2736dac2b78eae7a997218ab831,trap brasileiro
2024-08-30,41,Filha do Deputado,Mc IG & MC Ryan SP & DJ Glenner & Mc Poze do Rodo & Oruam,63,371852,album,15,2024-08-21,True,https://i.scdn.co/image/ab67616d0000b273f930592368b981a18dad1079,funk carioca & funk consciente & funk mtg & funk paulista & trap brasileiro
2024-08-30,42,Pensa Que É Dois,MC Digu & MC Pipokinha & PIPOKANDO FLUXOS,71,125227,single,1,2024-05-08,True,https://i.scdn.co/image/ab67616d0000b273152157fbf3ef828958f98870,funk carioca & funk mtg
2024-08-30,43,MTG QUERO VER SE VOCÊ TEM ATITUDE,Dj Luan Gomes,76,117576,single,1,2024-07-02,True,https://i.scdn.co/image/ab67616d0000b27313856f898fe673e6de27adfb,[]
2024-08-30,44,Apaguei Pra Todos - Ao Vivo,Ferrugem & Sorriso Maroto,77,198678,album,15,2024-04-18,False,https://i.scdn.co/image/ab67616d0000b2737e6e540930f868acf2af5ac1,funk carioca & pagode & pagode novo & sertanejo universitario
2024-08-30,45,Dedo do Meio - Ao Vivo,Murilo Huff,80,167391,album,7,2024-03-28,False,https://i.scdn.co/image/ab67616d0000b273e16b9a0cfbb3d7259ed01b27,arrocha & sertanejo & sertanejo universitario
2024-08-30,46,Melação - Ao Vivo,Zé Neto & Cristiano & Luan Santana,76,177567,album,11,2024-07-11,False,https://i.scdn.co/image/ab67616d0000b27373f044b863be0033982cd767,agronejo & arrocha & sertanejo & sertanejo universitario
2024-08-30,47,Sonho Dela (Cowboy),CountryBeat & Félix & Léo Souzza,81,113233,single,1,2024-05-03,False,https://i.scdn.co/image/ab67616d0000b27319fbbb30709f49f7d08bb196,[]
2024-08-30,48,Nois Já Tá Rico,Mc IG & MC Ryan SP & Orochi & DJ Glenner & DJ Negret,68,288000,album,15,2024-08-21,False,https://i.scdn.co/image/ab67616d0000b273f930592368b981a18dad1079,brazilian hip hop & funk carioca & funk consciente & funk mtg & funk paulista & trap brasileiro
2024-08-30,49,Amor Na Praia,NATTAN,77,156150,single,1,2024-03-07,False,https://i.scdn.co/image/ab67616d0000b273430015276203dca5020dab68,forro
2024-08-30,50,Rainha da Finesse,WIU,77,166153,album,13,2024-07-10,True,https://i.scdn.co/image/ab67616d0000b273a5c357177015bf3641b2cc89,trap brasileiro
